Performance Measure,Mean,Standard Deviation
F1_4,0.5814917,0.028962553
F1_5,0.997711,0.0022889972
Classification_Accuracy,0.95848006,0.004480064
Recall_5,0.9971336,0.0028663874
Recall_4,0.581946,0.052095294
Recall_3,0.58869064,0.02612418
Recall_2,1.0,0.0
Recall_1,0.99985075,1.4925003E-4
Precision_5,0.99830437,0.0016956329
Precision_4,0.58381724,0.0065814853
Precision_3,0.5880023,0.019509196
Global_F1,0.833223,0.0045677423
Precision_2,1.0,0.0
Precision_1,0.99984896,1.5103817E-4
F1_1,0.9998498,1.502037E-4
F1_2,1.0,0.0
F1_3,0.5870624,0.003684938

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Test Time (Minutes),0.053116666666666666,0.04986666666666666,0.049133333333333334,0.0491,0.04945,0.05123333333333333,0.049416666666666664,0.04883333333333333,0.04975,0.048666666666666664,
