Performance Measure,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
F1_4,0.5,0.46560845,0.45859873,0.6124031,0.49302328,0.5638767,0.4857143,0.5555555,0.5046729,0.33070865
F1_5,0.7826087,0.75722545,0.49350646,0.8038277,0.7942857,0.74999994,0.73964494,0.72189355,0.7801047,0.24210529
Classification_Accuracy,0.9236,0.9184,0.8864,0.9148,0.9228,0.926,0.9128,0.916,0.9168,0.8208
Recall_5,0.75418997,0.70053476,0.7169811,0.75,0.7433155,0.6809816,0.6944444,0.6594595,0.74129355,0.79310346
Recall_4,0.48514852,0.44444445,0.5217391,0.6124031,0.4732143,0.55172414,0.4722222,0.53097343,0.4695652,0.5675676
Recall_3,0.5148515,0.5,0.46376812,0.5307692,0.5221239,0.5603448,0.46296296,0.6017699,0.53913045,0.55263156
Recall_2,0.1764706,0.3148148,0.7959641,0.36666667,0.325,0.4047619,0.14583333,0.27272728,0.26923078,0.74968714
Recall_1,0.99806577,0.99708736,0.9985337,0.99591213,0.9975586,0.99757636,0.9965953,0.99557525,0.99801683,0.9960988
Precision_5,0.813253,0.8238994,0.37623763,0.8659794,0.85276073,0.83458644,0.79113925,0.79738563,0.8232044,0.14285715
Precision_4,0.51578945,0.4888889,0.4090909,0.6124031,0.5145631,0.5765766,0.5,0.5825243,0.54545456,0.23333333
Precision_3,0.52,0.5050505,0.43243244,0.6052632,0.5221239,0.64356434,0.4950495,0.6415094,0.53913045,0.2625
Global_F1,0.5883821,0.5902697,0.65083617,0.64751184,0.6057099,0.6315752,0.56123435,0.6159898,0.6036943,0.55252165
Precision_2,0.12,0.17894737,0.9403973,0.2,0.16666667,0.17708333,0.08235294,0.14018692,0.15384616,0.98277277
Precision_1,1.0,0.9985416,0.9862419,0.99795187,1.0,0.99951434,0.99756575,0.9970458,0.9995035,0.97084916
F1_1,0.99903196,0.99781394,0.99234974,0.9969309,0.9987778,0.9985444,0.99708027,0.99631,0.9987596,0.9833119
F1_2,0.14285715,0.2281879,0.8621736,0.25882354,0.22033899,0.24637683,0.10526316,0.18518518,0.19580421,0.8505503
F1_3,0.5174129,0.5025126,0.44755247,0.5655738,0.5221239,0.5990783,0.47846892,0.6210046,0.53913045,0.3559322
