Performance Measure,Mean,Standard Deviation
F1_4,0.28113335,0.22632933
F1_5,0.76891696,0.004767239
Classification_Accuracy,0.90528,0.009519994
Recall_5,0.90946865,0.09053135
Recall_4,0.27476168,0.232701
Recall_3,0.19005093,0.19005093
Recall_2,0.7208897,0.119110286
Recall_1,0.9988119,0.0011880994
Precision_5,0.6709672,0.040065944
Precision_4,0.36540577,0.14205691
Precision_3,0.22223334,0.22223334
Global_F1,0.60089123,0.03495592
Precision_2,0.9435856,0.056414425
Precision_1,0.96203786,0.008493543
F1_1,0.9798485,0.00519681
F1_2,0.7760149,0.13702857
F1_3,0.19854245,0.19854245

,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9
Filter Time (Seconds),0.045,0.019,0.013,0.009,0.01,0.009,0.008,0.008,0.009,0.008,
Test Time (Minutes),19.517966666666666,19.562633333333334,19.53248333333333,19.060133333333333,19.19225,19.944333333333333,19.787583333333334,19.3808,19.506866666666667,19.567166666666665,
